matched_who_host,vector_species_analysis,vector_species_needs_review,matched_who_host_tax_id,matched_who_host_class,matched_who_host_order,matched_who_host_family,vector_name_taxonomy_examples,source_platform_examples,source_dataset_examples,interaction_type_examples,country_examples,review_reason_examples,record_count
Canis lupus,Culex declarator,FALSE,9612,mammalia,carnivora,canidae,Culex declarator,VectorMap,BloodMealMap,blood_meal,Trinidad & Tobago,,1
Canis lupus,Culex gelidus,FALSE,9612,mammalia,carnivora,canidae,Culex gelidus,VectorMap,BloodMealMap,blood_meal,India; Singapore,,4
Canis lupus,Culex hilli,FALSE,9612,mammalia,carnivora,canidae,Culex hilli,VectorMap,BloodMealMap,blood_meal,Australia,,1
Canis lupus,Culex modestus,FALSE,9612,mammalia,carnivora,canidae,Culex modestus,VectorMap,BloodMealMap,blood_meal,Russia,,1
Canis lupus,Culex molestus,FALSE,9612,mammalia,carnivora,canidae,Culex molestus,VectorMap,BloodMealMap,blood_meal,Australia,,1
Canis lupus,Culex neavei,FALSE,9612,mammalia,carnivora,canidae,Culex neavei,VectorMap,BloodMealMap,blood_meal,Kenya,,1
Canis lupus,Culex nigripalpus,FALSE,9612,mammalia,carnivora,canidae,Culex nigripalpus,VectorMap,BloodMealMap,blood_meal,Brazil; Trinidad & Tobago,,2
Canis lupus,Culex perexiguus,FALSE,9612,mammalia,carnivora,canidae,Culex perexiguus,VectorMap,BloodMealMap,blood_meal,ESP; Iran; Israel,,4
Canis lupus,Culex pipiens,FALSE,9612,mammalia,carnivora,canidae,Culex pipiens,VectorMap,BloodMealMap,blood_meal,Egypt; ESP; Iran; Israel; Kenya; Russia; South Africa; Unites States,,19
Canis lupus,Culex pipiens molestus,TRUE,9615,mammalia,carnivora,canidae,Culex pipiens molestus,MapVEu,MapVEu,blood_meal,Australia,vector_infraspecific,1
Canis lupus,Culex pseudovishnui,FALSE,9612,mammalia,carnivora,canidae,Culex pseudovishnui,VectorMap,BloodMealMap,blood_meal,India,,2
Canis lupus,Culex quinquefasciatus,FALSE,9612,mammalia,carnivora,canidae,Culex quinquefasciatus,MapVEu; VectorMap,BloodMealMap; MapVEu,blood_meal,Australia; Brazil; Grenada; India; Japan; Malaysia; Mexico; Tanzania; Unites States,,65
Canis lupus,Culex salinarius,FALSE,9612,mammalia,carnivora,canidae,Culex salinarius,VectorMap,BloodMealMap,blood_meal,Unites States,,3
Canis lupus,Culex shanahani,FALSE,9612,mammalia,carnivora,canidae,Culex shanahani,VectorMap,BloodMealMap,blood_meal,Japan,,1
Canis lupus,Culex sitiens,FALSE,9612,mammalia,carnivora,canidae,Culex sitiens,VectorMap,BloodMealMap,blood_meal,Australia; Iran; Singapore,,6
Canis lupus,Culex spissipes,FALSE,9612,mammalia,carnivora,canidae,Culex spissipes,VectorMap,BloodMealMap,blood_meal,Trinidad & Tobago,,1
Canis lupus,Culex steffani,FALSE,9612,mammalia,carnivora,canidae,Culex steffani,VectorMap,BloodMealMap,blood_meal,Japan,,1
Canis lupus,Culex stigmatosoma,FALSE,9612,mammalia,carnivora,canidae,Culex stigmatosoma,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Culex tarsalis,FALSE,9612,mammalia,carnivora,canidae,Culex tarsalis,VectorMap,BloodMealMap,blood_meal,Unites States,,10
Canis lupus,Culex theileri,FALSE,9612,mammalia,carnivora,canidae,Culex theileri,VectorMap,BloodMealMap,blood_meal,ESP; Iran; South Africa,,5
Canis lupus,Culex tritaeniorhynchus,FALSE,9612,mammalia,carnivora,canidae,Culex tritaeniorhynchus,VectorMap,BloodMealMap,blood_meal,India; Japan; Singapore,,4
Canis lupus,Culex uniformis,FALSE,9612,mammalia,carnivora,canidae,Culex uniformis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Culex univittatus,FALSE,9612,mammalia,carnivora,canidae,Culex univittatus,VectorMap,BloodMealMap,blood_meal,Kenya; South Africa,,5
Canis lupus,Culex vishnui,FALSE,9612,mammalia,carnivora,canidae,Culex vishnui,VectorMap,BloodMealMap,blood_meal,India; Singapore,,6
Canis lupus,Culex winkleri,FALSE,9612,mammalia,carnivora,canidae,Culex winkleri,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Culiseta inornata,FALSE,9612,mammalia,carnivora,canidae,Culiseta inornata,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Culiseta melanura,FALSE,9612,mammalia,carnivora,canidae,Culiseta melanura,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Deinocerites cancer,FALSE,9612,mammalia,carnivora,canidae,Deinocerites cancer,VectorMap,BloodMealMap,blood_meal,Panama,,1
Canis lupus,Deinocerites dyari,FALSE,9612,mammalia,carnivora,canidae,Deinocerites dyari,VectorMap,BloodMealMap,blood_meal,Panama,,1
Canis lupus,Deinocerites epitedeus,FALSE,9612,mammalia,carnivora,canidae,Deinocerites epitedeus,VectorMap,BloodMealMap,blood_meal,Panama,,1
Canis lupus,Deinocerites pseudes,FALSE,9612,mammalia,carnivora,canidae,Deinocerites pseudes,VectorMap,BloodMealMap,blood_meal,Panama,,1
Canis lupus,Dermacentor albipictus,FALSE,9612,mammalia,carnivora,canidae,Dermacentor albipictus,VectorMap,TickMap,on_host_occurrence,United States of America,,8
Canis lupus,Dermacentor marginatus,FALSE,9612,mammalia,carnivora,canidae,Dermacentor marginatus,VectorMap,TickMap,on_host_occurrence,Georgia,,4
Canis lupus,Dermacentor variabilis,FALSE,9612,mammalia,carnivora,canidae,Dermacentor variabilis,VectorMap,TickMap,on_host_occurrence,United States of America,,320
Canis lupus,Echidnophaga gallinacea,FALSE,9612,mammalia,carnivora,canidae,Echidnophaga gallinacea,VectorMap,FleaMap,on_host_occurrence,Kenya; United States,,9
Canis lupus,Haemagogus janthinomys,FALSE,9612,mammalia,carnivora,canidae,Haemagogus janthinomys,VectorMap,BloodMealMap,blood_meal,Brazil,,8
Canis lupus,Haemaphysalis aciculifer,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis aciculifer,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire; Zimbabwe,,7
Canis lupus,Haemaphysalis bancrofti,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis bancrofti,VectorMap,TickMap,on_host_occurrence,Australia,,3
Canis lupus,Haemaphysalis flava,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis flava,VectorMap,TickMap,on_host_occurrence,"Korea, Republic of; South Korea",,13
Canis lupus,Haemaphysalis hoodi,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis hoodi,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,2
Canis lupus,Haemaphysalis indica,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis indica,VectorMap,TickMap,on_host_occurrence,Malawi,,1
Canis lupus,Haemaphysalis leachi,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis leachi,VectorMap,TickMap,on_host_occurrence,"Angola; Benin; Burundi; Congo, The Democratic Republic of The; Cote D'Ivoire; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Rwanda; Sierra Leone; South Africa; Sudan; Uganda; Zambia",,114
Canis lupus,Haemaphysalis leporispalustris,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis leporispalustris,VectorMap,TickMap,on_host_occurrence,United States of America,,16
Canis lupus,Haemaphysalis longicornis,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis longicornis,VectorMap,TickMap,on_host_occurrence,Australia; South Korea; United States of America,,106
Canis lupus,Haemaphysalis moreli,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis moreli,VectorMap,TickMap,on_host_occurrence,Uganda,,1
Canis lupus,Haemaphysalis paraleachi,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis paraleachi,VectorMap,TickMap,on_host_occurrence,"Burundi; Cameroon; Central African Republic; Congo, The Democratic Republic of The; Cote D'Ivoire; Ethiopia; Kenya; Sierra Leone; Sudan; Tanzania, United Republic of; Uganda",,21
Canis lupus,Haemaphysalis parmata,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis parmata,VectorMap,TickMap,on_host_occurrence,Central African Republic; Cote D'Ivoire,,8
Canis lupus,Haemaphysalis parva,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis parva,VectorMap,TickMap,on_host_occurrence,Georgia,,4
Canis lupus,Haemaphysalis punctata,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis punctata,VectorMap,TickMap,on_host_occurrence,Georgia,,12
Canis lupus,Haemaphysalis rugosa,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis rugosa,VectorMap,TickMap,on_host_occurrence,Central African Republic,,1
Canis lupus,Haemaphysalis spinulosa,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis spinulosa,VectorMap,TickMap,on_host_occurrence,Mali; Sudan; Zambia,,3
Canis lupus,Haemaphysalis sulcata,FALSE,9612,mammalia,carnivora,canidae,Haemaphysalis sulcata,VectorMap,TickMap,on_host_occurrence,Georgia; Morocco,,13
Canis lupus,Hyalomma aegyptium,FALSE,9612,mammalia,carnivora,canidae,Hyalomma aegyptium,VectorMap,TickMap,on_host_occurrence,Gambia,,1
Canis lupus,Hyalomma dromedarii,FALSE,9612,mammalia,carnivora,canidae,Hyalomma dromedarii,VectorMap,TickMap,on_host_occurrence,Georgia; Niger,,5
Canis lupus,Hyalomma excavatum,FALSE,9612,mammalia,carnivora,canidae,Hyalomma excavatum,VectorMap,TickMap,on_host_occurrence,Morocco,,1
Canis lupus,Hyalomma impeltatum,FALSE,9612,mammalia,carnivora,canidae,Hyalomma impeltatum,VectorMap,TickMap,on_host_occurrence,Georgia; Niger,,9
Canis lupus,Hyalomma impressum,FALSE,9612,mammalia,carnivora,canidae,Hyalomma impressum,VectorMap,TickMap,on_host_occurrence,South Africa,,1
Canis lupus,Hyalomma marginatum,FALSE,9612,mammalia,carnivora,canidae,Hyalomma marginatum,VectorMap,TickMap,on_host_occurrence,Georgia,,6
Canis lupus,Hyalomma truncatum,FALSE,9612,mammalia,carnivora,canidae,Hyalomma truncatum,VectorMap,TickMap,on_host_occurrence,Gambia,,1
Canis lupus,Ixodes affinis,FALSE,9612,mammalia,carnivora,canidae,Ixodes affinis,VectorMap,TickMap,on_host_occurrence,United States of America,,12
Canis lupus,Ixodes cavipalpus,FALSE,9612,mammalia,carnivora,canidae,Ixodes cavipalpus,VectorMap,TickMap,on_host_occurrence,Zambia,,4
Canis lupus,Ixodes cookei,FALSE,9612,mammalia,carnivora,canidae,Ixodes cookei,VectorMap,TickMap,on_host_occurrence,United States of America,,65
Canis lupus,Ixodes cornuatus,FALSE,9612,mammalia,carnivora,canidae,Ixodes cornuatus,VectorMap,TickMap,on_host_occurrence,Australia,,5
Canis lupus,Ixodes cumulatimpunctatus,FALSE,9612,mammalia,carnivora,canidae,Ixodes cumulatimpunctatus,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Cote D'Ivoire",,12
Canis lupus,Ixodes holocyclus,FALSE,9612,mammalia,carnivora,canidae,Ixodes holocyclus,VectorMap,TickMap,on_host_occurrence,Australia,,60
Canis lupus,Ixodes muniensis,FALSE,9612,mammalia,carnivora,canidae,Ixodes muniensis,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,8
Canis lupus,Ixodes myrmecobii,FALSE,9612,mammalia,carnivora,canidae,Ixodes myrmecobii,VectorMap,TickMap,on_host_occurrence,Australia,,2
Canis lupus,Ixodes nairobiensis,FALSE,9612,mammalia,carnivora,canidae,Ixodes nairobiensis,VectorMap,TickMap,on_host_occurrence,Kenya; Sudan,,2
Canis lupus,Ixodes nipponensis,FALSE,9612,mammalia,carnivora,canidae,Ixodes nipponensis,VectorMap,TickMap,on_host_occurrence,South Korea,,16
Canis lupus,Ixodes oldi,FALSE,9612,mammalia,carnivora,canidae,Ixodes oldi,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,7
Canis lupus,Ixodes pacificus,FALSE,9612,mammalia,carnivora,canidae,Ixodes pacificus,VectorMap,TickMap,on_host_occurrence,United States of America,,4
Canis lupus,Ixodes rasus,FALSE,9612,mammalia,carnivora,canidae,Ixodes rasus,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,5
Canis lupus,Ixodes ricinus,FALSE,9612,mammalia,carnivora,canidae,Ixodes ricinus,VectorMap,TickMap,on_host_occurrence,Georgia,,6
Canis lupus,Ixodes rubicundus,FALSE,9612,mammalia,carnivora,canidae,Ixodes rubicundus,VectorMap,TickMap,on_host_occurrence,South Africa; Zambia,,2
Canis lupus,Ixodes scapularis,FALSE,9612,mammalia,carnivora,canidae,Ixodes scapularis,VectorMap,TickMap,on_host_occurrence,United States of America,,106
Canis lupus,Ixodes tasmani,FALSE,9612,mammalia,carnivora,canidae,Ixodes tasmani,VectorMap,TickMap,on_host_occurrence,Australia,,12
Canis lupus,Mansonia africana,FALSE,9612,mammalia,carnivora,canidae,Mansonia africana,VectorMap,BloodMealMap,blood_meal,Kenya,,5
Canis lupus,Mansonia titillans,FALSE,9612,mammalia,carnivora,canidae,Mansonia titillans,VectorMap,BloodMealMap,blood_meal,Brazil,,2
Canis lupus,Mansonia uniformis,FALSE,9612,mammalia,carnivora,canidae,Mansonia uniformis,VectorMap,BloodMealMap,blood_meal,Australia; Kenya; Nigeria,,4
Canis lupus,Ornithodoros moubata,FALSE,9612,mammalia,carnivora,canidae,Ornithodoros moubata,VectorMap,TickMap,on_host_occurrence,Zambia,,1
Canis lupus,Ornithodoros savignyi,FALSE,9612,mammalia,carnivora,canidae,Ornithodoros savignyi,VectorMap,TickMap,on_host_occurrence,Chad,,1
Canis lupus,Ornithodoros talaje,FALSE,9612,mammalia,carnivora,canidae,Ornithodoros talaje,VectorMap,TickMap,on_host_occurrence,Panama,,1
Canis lupus,Otobius megnini,FALSE,9612,mammalia,carnivora,canidae,Otobius megnini,VectorMap,TickMap,on_host_occurrence,United States; Zimbabwe,,5
Canis lupus,Psorophora albigenu,FALSE,9612,mammalia,carnivora,canidae,Psorophora albigenu,VectorMap,BloodMealMap,blood_meal,Brazil,,1
Canis lupus,Psorophora ciliata,FALSE,9612,mammalia,carnivora,canidae,Psorophora ciliata,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Psorophora cingulata,FALSE,9612,mammalia,carnivora,canidae,Psorophora cingulata,VectorMap,BloodMealMap,blood_meal,Panama,,1
Canis lupus,Psorophora columbiae,FALSE,9612,mammalia,carnivora,canidae,Psorophora columbiae,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Psorophora confinnis,FALSE,9612,mammalia,carnivora,canidae,Psorophora confinnis,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Psorophora cyanescens,FALSE,9612,mammalia,carnivora,canidae,Psorophora cyanescens,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Psorophora discolor,FALSE,9612,mammalia,carnivora,canidae,Psorophora discolor,VectorMap,BloodMealMap,blood_meal,Unites States,,1
Canis lupus,Psorophora ferox,FALSE,9612,mammalia,carnivora,canidae,Psorophora ferox,VectorMap,BloodMealMap,blood_meal,Brazil,,2
Canis lupus,Rhipicentor bicornis,FALSE,9612,mammalia,carnivora,canidae,Rhipicentor bicornis,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Zambia",,3
Canis lupus,Rhipicentor nuttalli,FALSE,9612,mammalia,carnivora,canidae,Rhipicentor nuttalli,VectorMap,TickMap,on_host_occurrence,Zimbabwe,,23
Canis lupus,Rhipicephalus annulatus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus annulatus,VectorMap,TickMap,on_host_occurrence,Benin; Cote D'Ivoire; Georgia; Morocco,,11
Canis lupus,Rhipicephalus appendiculatus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus appendiculatus,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Rwanda; South Africa",,5
Canis lupus,Rhipicephalus bursa,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus bursa,VectorMap,TickMap,on_host_occurrence,Georgia,,1
Canis lupus,Rhipicephalus capensis,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus capensis,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Rwanda",,2
Canis lupus,Rhipicephalus carnivoralis,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus carnivoralis,VectorMap,TickMap,on_host_occurrence,"Tanzania, United Republic of",,1
Canis lupus,Rhipicephalus compositus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus compositus,VectorMap,TickMap,on_host_occurrence,Zambia,,2
Canis lupus,Rhipicephalus decoloratus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus decoloratus,VectorMap,TickMap,on_host_occurrence,"Benin; Congo, The Democratic Republic of The; Cote D'Ivoire; Guinea; Senegal; Sudan; Zambia",,11
Canis lupus,Rhipicephalus duttoni,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus duttoni,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The",,1
Canis lupus,Rhipicephalus evertsi,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus evertsi evertsi,VectorMap,TickMap,on_host_occurrence,"Congo, The Democratic Republic of The; Mali; Sudan",,4
Canis lupus,Rhipicephalus geigyi,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus geigyi,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire; Nigeria; Sierra Leone,,9
Canis lupus,Rhipicephalus haemaphysaloides,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus haemaphysaloides,VectorMap,TickMap,on_host_occurrence,LAO PEOPLE'S DEMOCRATIC REPUBLIC,,1
Canis lupus,Rhipicephalus interventus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus interventus,VectorMap,TickMap,on_host_occurrence,Zambia,,2
Canis lupus,Rhipicephalus kochi,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus kochi,VectorMap,TickMap,on_host_occurrence,Kenya,,1
Canis lupus,Rhipicephalus longus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus longus,VectorMap,TickMap,on_host_occurrence,"Angola; Cameroon; Congo, The Democratic Republic of The",,6
Canis lupus,Rhipicephalus lunulatus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus lunulatus,VectorMap,TickMap,on_host_occurrence,Angola; Cote D'Ivoire; South Africa,,6
Canis lupus,Rhipicephalus masseyi,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus masseyi,VectorMap,TickMap,on_host_occurrence,Malawi,,1
Canis lupus,Rhipicephalus microplus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus microplus,VectorMap,TickMap,on_host_occurrence,Australia,,1
Canis lupus,Rhipicephalus muhsamae,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus muhsamae,VectorMap,TickMap,on_host_occurrence,Nigeria,,1
Canis lupus,Rhipicephalus pravus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus pravus,VectorMap,TickMap,on_host_occurrence,Sudan,,2
Canis lupus,Rhipicephalus pulchellus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus pulchellus,VectorMap,TickMap,on_host_occurrence,Ethiopia; Kenya; Somalia,,3
Canis lupus,Rhipicephalus punctatus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus punctatus,VectorMap,TickMap,on_host_occurrence,Zambia,,1
Canis lupus,Rhipicephalus pusillus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus pusillus,VectorMap,TickMap,on_host_occurrence,Georgia,,8
Canis lupus,Rhipicephalus rossicus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus rossicus,VectorMap,TickMap,on_host_occurrence,Georgia,,12
Canis lupus,Rhipicephalus sanguines,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus sanguines,VectorMap,TickMap,on_host_occurrence,United States of America,,4
Canis lupus,Rhipicephalus sanguineus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus sanguineus,VectorMap,TickMap,on_host_occurrence,"Algeria; Angola; Argentina; Australia; Benin; Burkina Faso; Cameroon; Central African Republic; Chad; Congo, The Democratic Republic of The; Cote D'Ivoire; Djibouti; Egypt; Gambia; Georgia; Ghana; Guinea; Kenya; Malawi; Mali; Mexico; Morocco; Niger; Nigeria; Peru; Senegal; Sierra Leone; Somalia; South Africa; Sudan; Tanzania, United Republic of; Tunisia; Uganda; United States of America; Zambia",,673
Canis lupus,Rhipicephalus senegalensis,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus senegalensis,VectorMap,TickMap,on_host_occurrence,Angola; Benin; Burkina Faso; Cote D'Ivoire; Guinea-Bissau; Nigeria; Senegal; Sierra Leone; Sudan,,20
Canis lupus,Rhipicephalus simus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus simus,VectorMap,TickMap,on_host_occurrence,"Botswana; Burkina Faso; Congo, The Democratic Republic of The; Kenya; Malawi; Nigeria; Senegal; Somalia; South Africa; Sudan; Zambia; Zimbabwe",,374
Canis lupus,Rhipicephalus sulcatus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus sulcatus,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire; Zambia,,8
Canis lupus,Rhipicephalus supertritus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus supertritus,VectorMap,TickMap,on_host_occurrence,Sudan; Zimbabwe,,7
Canis lupus,Rhipicephalus tricuspis,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus tricuspis,VectorMap,TickMap,on_host_occurrence,"Benin; Congo, The Democratic Republic of The; Zambia",,3
Canis lupus,Rhipicephalus turanicus,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus turanicus,VectorMap,TickMap,on_host_occurrence,Djibouti; Georgia; Morocco,,108
Canis lupus,Rhipicephalus ziemanni,FALSE,9612,mammalia,carnivora,canidae,Rhipicephalus ziemanni,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,5
Canis lupus,Runchomyia theobaldi,FALSE,9612,mammalia,carnivora,canidae,Runchomyia theobaldi,VectorMap,BloodMealMap,blood_meal,Brazil,,1
Canis lupus,Verrallina carmenti,FALSE,9612,mammalia,carnivora,canidae,Verrallina carmenti,VectorMap,BloodMealMap,blood_meal,Australia,,1
Canis lupus,gambiae species complex,TRUE,9615,mammalia,carnivora,canidae,gambiae species complex,MapVEu,MapVEu,blood_meal,Tanzania,vector_complex,2
Canis mesomelas,Echidnophaga gallinacea,FALSE,68725,,,,Echidnophaga gallinacea,VectorMap,FleaMap,on_host_occurrence,Botswana,,99
Canis mesomelas,Haemaphysalis aciculifer,FALSE,68725,,,,Haemaphysalis aciculifer,VectorMap,TickMap,on_host_occurrence,Kenya,,1
Canis mesomelas,Haemaphysalis leachi,FALSE,68725,,,,Haemaphysalis leachi,VectorMap,TickMap,on_host_occurrence,Ethiopia; Sudan,,2
Canis mesomelas,Haemaphysalis paraleachi,FALSE,68725,,,,Haemaphysalis paraleachi,VectorMap,TickMap,on_host_occurrence,Kenya; Sudan,,2
Canis mesomelas,Haemaphysalis spinulosa,FALSE,68725,,,,Haemaphysalis spinulosa,VectorMap,TickMap,on_host_occurrence,Sudan,,1
Canis mesomelas,Rhipicephalus simus,FALSE,68725,,,,Rhipicephalus simus,VectorMap,TickMap,on_host_occurrence,Ethiopia,,1
Capra hircus,Aedes vexans,FALSE,9925,mammalia,artiodactyla,bovidae,Aedes vexans,VectorMap,BloodMealMap,blood_meal,Japan; Unites States,,2
Capra hircus,Amblyomma astrion,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma astrion,VectorMap,TickMap,on_host_occurrence,Angola,,1
Capra hircus,Amblyomma gemma,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma gemma,VectorMap,TickMap,on_host_occurrence,Kenya,,4
Capra hircus,Amblyomma hebraeum,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma hebraeum,VectorMap,TickMap,on_host_occurrence,Kenya; South Africa,,4
Capra hircus,Amblyomma lepidum,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma lepidum,VectorMap,TickMap,on_host_occurrence,Kenya; Sudan,,4
Capra hircus,Amblyomma maculatum,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma maculatum,VectorMap,TickMap,on_host_occurrence,United States of America,,8
Capra hircus,Amblyomma marmoreum,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma marmoreum,VectorMap,TickMap,on_host_occurrence,South Africa,,1
Capra hircus,Amblyomma nuttalli,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma nuttalli,VectorMap,TickMap,on_host_occurrence,"Tanzania, United Republic of",,3
Capra hircus,Amblyomma variegatum,FALSE,9925,mammalia,artiodactyla,bovidae,Amblyomma variegatum,VectorMap,TickMap,on_host_occurrence,"Burkina Faso; Congo, The Democratic Republic of The; Cote D'Ivoire; Guinea-Bissau; Kenya; Malawi; Senegal; Sierra Leone; South Africa; Sudan; Uganda; Zambia",,24
Capra hircus,Anopheles arabiensis,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles arabiensis,MapVEu,MapVEu,blood_meal,Ethiopia; Ghana; Kenya,,16
Capra hircus,Anopheles coluzzii,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles coluzzii,MapVEu,MapVEu,blood_meal,Ghana,,8
Capra hircus,Anopheles coustani,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles coustani,MapVEu,MapVEu,blood_meal,Ethiopia; Kenya,,3
Capra hircus,Anopheles darlingi,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles darlingi,MapVEu,MapVEu,blood_meal,Peru,,4416
Capra hircus,Anopheles funestus,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles funestus,MapVEu,MapVEu,blood_meal,Kenya,,3
Capra hircus,Anopheles gambiae,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles gambiae,MapVEu,MapVEu,blood_meal,Ghana; Kenya; Madagascar,,12
Capra hircus,Anopheles lesteri,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles lesteri,VectorMap,BloodMealMap,blood_meal,Japan,,1
Capra hircus,Anopheles pharoensis,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles pharoensis,MapVEu,MapVEu,blood_meal,Ethiopia,,2
Capra hircus,Anopheles sinensis,FALSE,9925,mammalia,artiodactyla,bovidae,Anopheles sinensis,VectorMap,BloodMealMap,blood_meal,Japan,,2
Capra hircus,Armigeres subalbatus,FALSE,9925,mammalia,artiodactyla,bovidae,Armigeres subalbatus,VectorMap,BloodMealMap,blood_meal,Japan,,1
Capra hircus,Ctenocephalides canis,FALSE,9925,mammalia,artiodactyla,bovidae,Ctenocephalides canis,VectorMap,FleaMap,on_host_occurrence,India,,1
Capra hircus,Culex mimeticus,FALSE,9925,mammalia,artiodactyla,bovidae,Culex mimeticus,VectorMap,BloodMealMap,blood_meal,Japan,,1
Capra hircus,Dermacentor nuttalli,FALSE,9925,mammalia,artiodactyla,bovidae,Dermacentor nuttalli,VectorMap,TickMap,on_host_occurrence,Mongolia,,32
Capra hircus,Haemaphysalis aciculifer,FALSE,9925,mammalia,artiodactyla,bovidae,Haemaphysalis aciculifer,VectorMap,TickMap,on_host_occurrence,Kenya; South Africa; Zimbabwe,,8
Capra hircus,Haemaphysalis hoodi,FALSE,9925,mammalia,artiodactyla,bovidae,Haemaphysalis hoodi,VectorMap,TickMap,on_host_occurrence,Cote D'Ivoire,,2
