fff,name,countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,CFR.low,CFR.high,cases_per_year,GROUP,TYPE,Modelled_as,notes,amplified,h2h,Vector,sporadic.endemic,%_cases_modelled,cases_per_yearx,spillover_rate_outbreaks,outbreaks_per_year,cases_per_year,Ecoregion,Eco_code,Continent,continent_code,Location,first.date,R0,R0_ref,total_area,total_pop_at_risk,mean_lon,mean_lat,Incubation.low,Incubation.high,acute_low,acute_high,CFR.low,CFR.high,proportion.of.recovered.that.are.immmune,X..chronic.carrier,Chronicduration_low,Chronicduration_high,chronic.morbidity,Convalescence_length...non.infectious.recovery,reference,notes,reference,test1
34,dengue,"AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",flavivirus ,flavivirus ,Dengue,human,human,,,"stegomyia aegypti,stegomyia albopicta,stegomyia niveus,anopheles balabacensis,anopheles balabacensis ",,HUMAN->VECTOR->HUMAN,20,20,3.90E+08,VIRUS,HUMAN->VECTOR->HUMAN,V_H,,0,no,Y,ENDEMIC,100,390000000,0.099313819,,390000000,TR,1,"NthA,SA,AF,AS,AU","1,2,4,5,6","AG,DZ,AO,AS,BH,BB,BM,BS,BD,BZ,BO,MM,BJ,SB,BR,BN,KH,LK,CG,CD,BI,BT,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,DJ,DM,DO,EC,EG,GQ,ER,SV,ET,GF,FJ,FM,PF,GM,GA,GH,GD,GU,GT,GN,GY,HT,HN,IN,IR,IL,CI,IQ,JM,JO,KE,KI,KW,LA,LR,LY,MG,MQ,MS,ML,MA,MU,MR,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,HK,MP,MO,PS,YT,CC,IO,CX,UM,VU,NG,NP,NR,SR,NI,PY,PE,PK,PA,PG,GW,QA,RE,PH,PR,RW,SA,KN,SC,BW,SN,SL,SG,SO,LC,SD,TT,TH,TK,TO,TG,ST,TV,TZ,UG,BF,VC,VE,VG,VN,VI,NA,WF,WS,YE,ZM,ZW,ID,GP,AN,AE,TL,PW,MH,SH,TC,EH,MF,BL,TW",,0, (96/390 are acute),5794003,3926945955,8.14863871,7.764832258,3,14,7,7,20,20,100,0,0,0,0,14,Werthiem,,Werthiem,62
35,eastern equine encephalitis,"US,MX,GT,DO,JM,EC,CO,VE,TT,GY,GF,BR,AR,PE",alphavirus,alphavirus,Eastern Equine Encephalitis,passerina,aves,,,"culiseta melanura,culiseta morsitans",,HOST->VECTOR->HUMAN,50,70,20,VIRUS,HOST->VECTOR->HUMAN,V_H,HOST NOT MODELLED,0,no,Y,ENDEMIC,100,20,2.75E-08,,20,WW,0,"NthA,SA","1,2","US,MX,GT,DO,JM,EC,CO,VE,TT,GY,GF,BR,AR,PE",,0,,2619912,728363086,-73.18592857,6.381714286,4,10,7,14,50,70,10,90,1000,1000,50,14,Werthiem,,Werthiem,65
36,ebola,"CI,CD,UG,CG,GA,SD,ZA",filovirus,filovirus,ebola,"eidolon helvum,epomophorus gambianus,epomops franqueti,hypsignathus monstrosus",mammalia,,,,,HOST->HUMAN->HUMAN,78,78,0.526315789,VIRUS,HOST->HUMAN->HUMAN,H,,0,yes,N,SPORADIC,100,50,2.69E-09,0.526315789,0.526315789,TR,1,AF,4,"CI,CD,UG,CG,GA,SD,ZA",1976,2.7,legrande,697179,196011383,18.77685714,-1.619428571,7,7,9.6,9.6,78,78,100,0,0,0,0,0,http://www.nejm.org/doi/full/10.1056/NEJMc1300266,,http://www.nejm.org/doi/full/10.1056/NEJMc1300266,66
37,anaplasma phagocytophilum,"CA,US,ES,IT,DE,AT,CY,CZ,PL,BG,FI,NO,SE,CN",bacteria,bacteria,Ehrlichioses,"alces alces,apodemus agrarius,apodemus sylvaticus,capreolus capreolus,cervus elaphus,myodes glareolus,odocoileus virginianus,peromyscus leucopus,procyon lotor,sciurus carolinensis,sciurus griseus,sorex araneus,sylvilagus floridanus,tamias striatus",mammalia,,,"ixodes pacificus,amblyomma americanum,amblyomma maculatum,amblyomma testudinarium,haemaphysalis longicornis,haemaphysalis yeni,haemaphysalis yeni ,ixodes ricinus,dermacentor variabilis,ixodes pacificus,amblyomma americanum,rhipicephalus sanguineus",,HOST->VECTOR->HUMAN,0.5,0.5,9305.967035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werthiem,5
38,ehrlichia chaffeensis,"US,BR,VE,CM,PT,IT",bacteria,ehrlichia,Ehrlichioses,odocoileus virginianus,mammalia,,,"ixodes pacificus,amblyomma americanum,amblyomma maculatum,amblyomma testudinarium,haemaphysalis longicornis,haemaphysalis yeni,haemaphysalis yeni ,ixodes ricinus",,HOST->VECTOR->HUMAN,2.7,2.7,1095.181584,BACTERIA,HOST->VECTOR->HUMAN,HV,,0,no,Y,ENDEMIC,100,1095.181584,0.000002,39,1095.181584,WW,0,"NthA,SA,EU,AF,","1,2,3,4","US,BR,VE,CM,PT,IT",1990,0,,1935144,547590792,-33.867,21.058,7,10,7,14,2.7,2.7,0,0,0,0,0,0,Werthiem,,"Ganguly,S (2008). ""Tick-borne ehrlichiosis infection in human beings"" (PDF). Jourl of Vector Borne Disease 45 (4): 273–280.Werthiem",68
39,ehrlichia ewingii,US,bacteria,ehrlichia,Ehrlichioses,"procyon lotor,canis lupus",mammalia,,,"ixodes pacificus,amblyomma americanum,amblyomma maculatum,amblyomma testudinarium,haemaphysalis longicornis,haemaphysalis yeni,haemaphysalis yeni ,ixodes ricinus,dermacentor variabilis,ixodes pacificus,amblyomma americanum,rhipicephalus sanguineus ",,HOST->VECTOR->HUMAN,0.5,0.5,599.692898,BACTERIA,HOST->VECTOR->HUMAN,HV,,0,no,Y,ENDEMIC,100,599.692898,0.000002,3,599.692898,TE,2,NthA,1,US,1990,0,,915896,299846449,-98.606,39.622,7,10,7,14,0.5,0.5,100,0,0,0,0,0,Werthiem,,Werthiem,69
40,lymphocytic choriomeningitis,"US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,JP",arenavirus ,arenavirus ,Encephalitis,"mus musculus,apodemus sylvaticus,apodemus flavicollis",mammalia,,,,,HOST->HUMAN,0,1,1.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prevalence of LCMV antibodies in human populations range from 2% to 5%,,mortality is less than 1%. Ref: http://www.cdc.gov/vhf/lcm/symptoms/index.html",123
41,banna,"CN,ID,VT",seadornavirus,seadornavirus,Encephalitis,pigs,domestic,,,"stegomyia albopicta,aedimorphus vexans,anopheles sinensis,culex annulus,culex modestus,culex pipiens,culex tritaeniorhynchus,ochlerotatus dorsalis",,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: beshima,T.; Thi Nga,P. T.; Guillermo,P.; Parquet Mdel,M. D. C.; Yu,F.; Thanh Thuy,N. T.; Minh Trang,B. M.; Tran Hien,N. T.; Sinh m,V. S.; Inoue,S.; Hasebe,F.; Morita,K. (2008). ""Isolation and Molecular Characterization of Ban Virus from Mosquitoes,Vietm"". Emerging Infectious Diseases 14 (8): ",22
42,mokola,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,CD,CG,GA,GQ,CM,CF,SS,SD,TD,ZA",lyssavirus ,lyssavirus ,Encephalitis,"crocidura,lophuromys",mammalia,felis,mammalia,,,HOST->HUMAN,100,100,0.5,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,0.5,8.99E-10,,0.5,TR,1,AF,4,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,CD,CG,GA,GQ,CM,CF,SS,SD,TD,SO,ET,KE,UG,TZ,BI,RW,",,0,,1597149,556221861,11.30758621,7.083448276,30,90,2,10,100,100,0,0,0,0,0,0,Werthiem,,Werthiem,133
43,angiostrongylus costaricensis ,CR,parasite,angiostrongylus,Eosinophilic meningitis,Sigmodon hispidus,mammalia,,,"sarasinula,veronicella",,HOST->VECTOR->HUMAN,1.8,7.4,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Outbreaks of human angiostrongyliasis have involved a few to hundreds of persons; over 2,800 cases have been reported in the literature from approximately 30 countries.; http://www.cdc.gov/parasites/angiostrongylus/epi.html; CFR http://www.ncbi.nlm.nih.gov/pubmed/9580096",8
44,angiostrongylus cantonensis,"US,EC,BR,TO,AS,PF,CU,DO,JM,CI,EG,IN,CN,TH,VN,TW,AU,PG,JP,ID,MY,NC",parasite,angiostrongylus,Eosinophilic meningitis,"bandicota,varanus",mammalia,,,"achatina fulica,pomacea canaliculata",,HOST->VECTOR->HUMAN,0,0.5,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Outbreaks of human angiostrongyliasis have involved a few to hundreds of persons; over 2,800 cases have been reported in the literature from approximately 30 countries.; http://www.cdc.gov/parasites/angiostrongylus/epi.html; CFR: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3689488/",7
45,eyach,"FR,DE,CZ,NL",coltivirus,coltivirus,European Eyach virus,"lepus,apodemus,goats",mammalia,,,"ixodes rincus,ixodes ventalloi",,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref:https://wwwnc.cdc.gov/eid/article/11/11/pdfs/05-0868.pdf,74
46,fasciola gigantica,"CU,PE,BO,CL,BR,PR,FR,EG,ZW,UG,ET,SA,IR,UZ,PH,VN,AU",parasite,fasciola,Fascioliasis,human,human,"cattle,buffalo,goats,sheep,donkeys",domestic,"radix auricularia,radix rufescens,radix acuminata,radix rubiginosa,radix natalensis,radix cailliaudi",,HUMAN->VECTOR->HUMAN,0,0,1.70E+07,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,"sheep, cattle",no,B,ENDEMIC,5,17000000,0.021304276,,17000000,WW,0,"NthA,SA,EU,AF,AS,AU","1,2,3,4,5,6","CU,PE,BO,CL,BR,PR,FR,EG,ZW,UG,ET,SA,IR,UZ,PH,VN,AU",,0,,2733804,797961860,14.90170588,8.779705882,90,120,60,120,0,0,0,100,360,360,20,14,Werthiem,,Werthiem,75
47,fasciola hepatica,"US,MX,PE,EC,BO,CL,AR,VE,CU,PR,PT,ES,FR,IT,NO,TR,EG,TN,IN,TH,KR,JP,NG",parasite,fasciola,Fascioliasis,human,human,"cattle,buffalo,goats,sheep,donkeys",domestic,"stagnicola fuscus,lymnaea viatrix,lymnaea stagnalis,radix auricularia,radix peregra,omphiscola glabra,stagnicola palustris,lymnaea neotropica,lymnaea cubensis,radix natalensis,austropeplea ollula,pseudosuccinea columella,stagnicola turricula,lymnaea cousini,lymnaea occulta,radix rubiginosa,radix viridis,galba truncatula,stagnicola caperata,lymnaea diaphana,lymnaea humilis,radix lagotis,austropeplea tomentosa,galba bulimoides",,HUMAN->VECTOR->HUMAN,0,0,8500003.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Correa,C. A.; Escobar,J. S.; Durand,P.; Reud,F.; David,P.; Jarne,P.; Pointier,J.-P.; Hurtrez-Boussès,S. (2010). ""Bridging gaps in the molecular phylogeny of the Lymeidae (Gastropoda: Pulmota),vectors of Fascioliasis"". BMC Evolutiory Biology 10: 381. doi:10.1186/1471-2148-10-381. PMC 3013105. PMID 21143890.",76
48,australian bat lyssa,AU,lyssavirus ,lyssavirus ,Fatal encephalitis,"saccolaimus flaviventris,pteropus",mammalia,,,,,HOST->HUMAN,100,100,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Han,J. N.; Carney,I. K.; Smith,G. A.; Tannenberg,A. E.; Deverill,J. E.; Botha,J. A.; Serafin,I. L.; Harrower,B. J.; Fitzpatrick,P. F.; Searle,J. W. (2000). ""Australian Bat Lyssavirus Infection: A Second Human Case,with a Long Incubation Period"". The Medical Jourl of Australia. 172 (12): 597–599. PMID 10914106.",14
49,duvenhage,"KE,ZA",lyssavirus ,lyssavirus ,Fatal encephalitis,"miniopterus schreibersii,nycteris thebaica",mammalia,,,,,HOST->HUMAN,100,100,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: van Thiel,P. P.; van den Hoek,J. A.; Eftimov,F.; Tepaske,R.; Zaaijer,H. J.; Spanjaard,L.; de Boer,H. E.; van Doornum G. J.; Schutten M.; Osterhaus,A.; Kager,P. A. (January 2008). ""Fatal Case of Human Rabies (Duvenhage Virus) from a Bat in Kenya: The Netherlands,December 2007"" (pdf). Eurosurveillance 13 (2): 1–2. PMID 18445390. Article ID 8007",64
50,wuchereria bancrofti,"PR,DO,BR,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,ZA,NA,LS,BW,ZW,ZM,AO,MZ,MG,MM,TH,LA,KH,VN,MY,PH,BN",parasite,wuchereria,Filariasis,human,human,,,"culex annulirostris,culex bitaeniorhynchus,culex quinquefasciatus,culex pipiens,anopheles arabinensis,anopheles bancroftii,anopheles farauti,anopheles funestus,anopheles gambiae,anopheles koliensis,anopheles melas,anopheles merus,anopheles punctulatus,anopheles wellcomei,stegomyia aegypti,aedes aquasalis,aedes bellator,aedes cooki,aedes darlingi,aedes kochi,stegomyia polynesiensis,aedes pseudoscutellaris,aedes rotumae,ochlerotatus scapularis,ochlerotatus vigilax,mansonia pseudotitillans,mansonia uniformis,coquillettidia juxtamansonia",,HUMAN->VECTOR->HUMAN,0,0,1.08E+08,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,Y,ENDEMIC,100,108000000,0.100367132,,108000000,TR,1,"SA,AF,AS,AU","2,4,5,6","PR,DO,BR,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,ZA,NA,LS,BW,ZW,ZM,AO,MZ,MG,MM,TH,LA,KH,VN,MY,PH,BN",,0,,2495767,1076049477,26.90665,3.55475,180,360,30,30,0,0,0,70,3000,10000,30,14,Werthiem,,Werthiem,232
51,brugia malayi,"VN,TH,PH,ID,BN,MY",parasite,brugia,Filariasis,human,human,,,"aedes,anopheles,mansonia,culex ",,HUMAN->VECTOR->HUMAN,0,0,6.00E+06,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,Y,ENDEMIC,100,6000000,0.012379108,,6000000,TR,1,AS,5,"VN,TH,PH,ID,BN,MY",,0,,327994,484687577,109.9436667,9.333666667,90,180,30,30,0,0,0,70,3000,10000,30,14,Werthiem,,Werthiem,44
52,brugia timori,"ID,TL",parasite,brugia,Filariasis,human,human,,,"anopheles barbirostris,culex",,HUMAN->VECTOR->HUMAN,0,0,6.00E+06,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,Y,ENDEMIC,100,6000000,0.026416551,,6000000,TR,1,AS,5,"ID,TL",,0,,182644,227130329,120.065,-4.899,180,360,30,30,0,0,0,70,3000,10000,30,14,Werthiem,,Werthiem,45
53,rickettsia honei,"NP,TH,AU",bacteria,rickettsia,Flinders Island spotted fever,bothriocroton hydrosauri,invert,,,,,HOST->HUMAN,0.1,0.1,3.225806452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wwwnc.cdc.gov/eid/article/13/11/pdfs/07-0099.pdf,183
54,seoul,"AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,NA,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW",hantavirus,hantavirus,Hantaviral Disease,rattus losea,mammalia,,,,,HOST->HUMAN,1.5,1.5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.cdc.gov/hantavirus/technical/hanta/virology.html,206
55,tula,"NO,SE,FI,PT,FR,ES,GB,IT,CH,AT,BE,NL,SI,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,RU",hantavirus,hantavirus,Hantaviral Disease,microtus arvalis,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=21338,224
56,andes,"CL,AR,UY",hantavirus,hantavirus,Hantavirus Cardiopulmonary Syndrome,oligoryzomys longicaudatus,mammalia,,,,,HOST->HUMAN->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN->HUMAN,H,,0,rare,N,ENDEMIC,100,25.25,0.000000433,,25.25,TE,2,SA,2,"CL,AR,UY",,0.1,??,366051,58367977,-63.53733333,-30.522,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367635/;http://www.nejm.org/doi/full/10.1056/NEJMc1300266,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3367635/;http://www.nejm.org/doi/full/10.1056/NEJMc1300266,6
57,amur,"RU,CN,KR",hantavirus,hantavirus,Hantavirus hemorrhagic fever with renal syndrome (HFRS),apodemus peninsulae,mammalia,,,,,HOST->HUMAN,5,15,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ref: Yao LS,Zhao H,Shao LJ,Liu YX,Zhang XL,Wang J,Deng YQ,Li XF,Hu KX,Qin CF,Xu BL.Complete genome sequence of an amur virus isolated from Apodemus peninsulae in Northeastern Chi.Source.Jourl of Virology. 2012 Dec;86(24):13816–7. doi: 10.1128/JVI.02586-12.",3
58,araraquara,BR,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,necromys lasiurus,mammalia,,,,,HOST->HUMAN,47.5,47.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2671436/,10
59,bayou,US,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oryzomys palustris,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,8.42E-08,,25.25,TE,2,NthA,1,US,,0,,915896,299846449,-98.606,39.622,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,27
60,bermejo,AR,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys chacoensis,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.000000652,,25.25,TE,2,SA,2,AR,,0,,273669,38747148,-65.167,-35.377,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,29
61,black creek canal,US,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,sigmodon hispidus,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,8.42E-08,,25.25,TE,2,NthA,1,US,,0,,915896,299846449,-98.606,39.622,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,30
62,choclo,PA,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,"oligoryzomys fulvescens,sigmodon hispidus",mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.00000781,,25.25,TR,1,NthA,1,PA,,0,,7443,3231502,-80.92,8.384,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,55
63,juquitiba,BR,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys nigripes,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.000000135,,25.25,TR,1,SA,2,BR,,0,,845942,186830759,-53.089,-10.772,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,100
64,laguna negra,"AR,BO,PY",hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,calomys laucha,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.000000469,,25.25,TR,1,SA,2,"AR,BO,PY",,0,,421837,53833505,-62.743,-25.10933333,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,106
65,lechiguanas,AR,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys flavescens,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.000000652,,25.25,TE,2,SA,2,AR,,0,,273669,38747148,-65.167,-35.377,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,108
66,monongahela,US,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,peromyscus leucopus,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,8.42E-08,,25.25,TE,2,NthA,1,US,,0,,915896,299846449,-98.606,39.622,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,30,Werthiem,,Werthiem,135
67,new york,US,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,"peromyscus leucopus,peromyscus maniculatus",mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,8.42E-08,,25.25,TE,2,NthA,1,US,,0,,915896,299846449,-98.606,39.622,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,142
68,oran,AR,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,oligoryzomys longicaudatus,mammalia,,,,,HOST->HUMAN,47.5,47.5,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.000000652,,25.25,TE,2,SA,2,AR,,0,,273669,38747148,-65.167,-35.377,14,14,12.5,12.5,47.5,47.5,100,0,0,0,0,42,Werthiem,,Werthiem,147
69,sin nombre,"US,CA",hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,peromyscus maniculatus,mammalia,,,,,HOST->HUMAN,50,50,25.25,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,25.25,0.000000076,,25.25,TE,2,NthA,1,"US,CA",,0,,1825247,332116956,-104.0195,49.3515,9,9,12.5,12.5,50,50,100,0,0,0,0,21,Werthiem,,Werthiem,207
70,maciel,AR,hantavirus,hantavirus,Hantavirus Pulmonary Syndrome,necromys obscurus,mammalia,,,,,HOST->HUMAN,47.5,47.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000200167,125
71,borrelia miyamotoi,"US,JP,RU",bacteria,borrelia,Hard Tick-Borne Relapsing Fever,"peromyscus leucopus,tamias striatus,blarina brevicauda,sorex cinereus,sciurus carolinensis,sciurus griseus,myodes rufocanus,myodes rutilus,apodemus speciosus,lepus timidus,sus scrofa,capreolus capreolus,cervus elaphus",mammalia,,,"ixodes pacificus,ixodes persculatus,ixodes pacificus ,ixodes persulcaus,ixodes ricinus,ixodes scapularis,ixodes persculatus,ixodes ricinus",,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.antimicrobe.org/new/b86.asp,41
72,anajatuba,BR,hantavirus,hantavirus,HCPS,oligoryzomys fornesi,mammalia,,,,,HOST->HUMAN,39,39,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/S1198743X15005366,4
73,castelo dos sonhos,BR,hantavirus,hantavirus,HCPS,olygoryzomys utiaritensis,mammalia,,,,,HOST->HUMAN,39,39,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/S1198743X15005368,52
74,itapua,PY,hantavirus,hantavirus,HCPS,oligoryzomys nigripes,mammalia,,,,,HOST->HUMAN,39,39,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/S1198743X15005369,95
75,maporal,PY,hantavirus,hantavirus,HCPS,Oligoryzomys delicatus,mammalia,,,,,HOST->HUMAN,39,39,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/S1198743X15005370,127
76,hantaan,"CN,RU,KP,KR",hantavirus,hantavirus,Hemorrhagic Fever with Renal Syndrome,apodemus agrarius,mammalia,,,,,HOST->HUMAN,10,10,1.00E+05,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,100000,0.0000654,,100000,TE,2,AS,5,"CN,RU,KP,KR",,0,,2592751,1528417395,114.43925,42.9225,14,14,8,8,10,10,100,0,0,0,0,14,Werthiem,,Werthiem,84
