disease_name_join,vector_join_key,competence_disease_name,vector_competence_species,vector_competence_group,vector_competence_status,competence_statuses,vector_competence_evidence_types,transmission_demonstrated,natural_infection_reported,vector_role_hint,uncertainty_reason,competence_locations_summary,competence_source_examples,competence_note_examples,competence_row_count,vector_competence_name_cleanup_methods
plague,echidnophaga gallinaceus,Plague,Echidnophaga gallinaceus,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,epitedia eumolpi,Plague,Epitedia eumolpi,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,epitedia wenmanni,Plague,Epitedia wenmanni,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,euhoplopsyllus glacialis affinis,Plague,Euhoplopsyllus glacialis affinis,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,hoplopsyllus anomalus,Plague,Hoplopsyllus anomalus,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,hystrichopsylla linsdalei,Plague,Hystrichopsylla linsdalei,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,leptopsylla segnis,Plague,Leptopsylla segnis,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,malaraeus telchinum,Plague,Malaraeus telchinum,flea,mixed,mixed,narrative_review,yes,,,,North America,Eisen et al. 2009,rarely blocked but can transmit when many fleas feed soon after infection,1,normalized_name
plague,megabothris abantis,Plague,Megabothris abantis,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,megabothris clantoni,Plague,Megabothris clantoni,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,meringis shannoni,Plague,Meringis shannoni,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,neopsylla setosa,Plague,Neopsylla setosa,flea,unclear,unclear,narrative_review,,,,limited_or_indirect_support,,Gage and Kosoy 2005,blocking study only in the cited passage,1,normalized_name
plague,nosopsyllus fasciatus,Plague,Nosopsyllus fasciatus,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,opisodasys nesiotis,Plague,Opisodasys nesiotis,flea,competent,competent,narrative_review,yes,,,spelling_or_ocr_issue,North America,Eisen et al. 2009,OCR spelling uncertain in source text,1,normalized_name
plague,orchopeas sexdentatus,Plague,Orchopeas sexdentatus,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,oropsylla bruneri,Plague,Oropsylla bruneri,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,oropsylla hirsuta,Plague,Oropsylla hirsuta,flea,mixed,mixed,narrative_review,yes,,,low_competence_or_efficiency,North America,Eisen et al. 2009,positive transmission but variable across studies and one study showed very low efficiency,1,normalized_name
plague,oropsylla idahoensis,Plague,Oropsylla idahoensis,flea,mixed,mixed,narrative_review,yes,,,,North America,Eisen et al. 2009,transmission demonstrated only in mass feeding experiments and no individual transmission signal in the table,1,normalized_name
plague,oropsylla labis,Plague,Oropsylla labis,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,oropsylla montana,Plague,Oropsylla montana,flea,mixed,mixed,narrative_review,yes,,,,North America,Eisen et al. 2009,low and variable efficiency but clear experimental transmission,1,normalized_name
plague,oropsylla rupestris,Plague,Oropsylla rupestris,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,oropsylla tuberculata,Plague,Oropsylla tuberculata,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,oropsylla tuberculata cynomuris,Plague,Oropsylla tuberculata cynomuris,flea,mixed,mixed,narrative_review,yes,,,,North America,Eisen et al. 2009,transmission occurred with no blocking in the cited study,1,normalized_name
plague,paradoxopsyllus curvispinus,Plague,Paradoxopsyllus curvispinus,flea,unclear,unclear,narrative_review,,yes,,mixed_or_debated_evidence,Japan; Southeast Asia,Medvedev et al. 2022,historical infection claim appears likely accidental in Japan and the review treats the vector role as debated,1,normalized_name
plague,paradoxopsyllus custodis,Plague,Paradoxopsyllus custodis,flea,unclear,unclear,narrative_review,,yes,epizootic_vector,,Yunnan China,Medvedev et al. 2022,limited epizootic mention with no direct transmission experiment,1,normalized_name
plague,paradoxopsyllus dashidorzhii,Plague,Paradoxopsyllus dashidorzhii,flea,mixed,mixed,narrative_review,mixed,yes,primary_vector,no_transmission_demonstrated,Mongolia; Russia,Medvedev et al. 2022,main vector in some foci but one experiment showed no transmission while another confirmed group transmission,1,normalized_name
plague,paradoxopsyllus hesperius kalabukhovi,Plague,Paradoxopsyllus hesperius kalabukhovi,flea,unclear,unclear,narrative_review,,yes,secondary_vector,field_detection_only,China; Mongolia; Russia,Medvedev et al. 2022,accessory vector with field infection only in the cited material,1,normalized_name
plague,paradoxopsyllus integer,Plague,Paradoxopsyllus integer,flea,unclear,unclear,narrative_review,,yes,,,Eurasia; Mongolia,Medvedev et al. 2022,spontaneous infection reported but no competence experiment in the cited passage,1,normalized_name
plague,paradoxopsyllus repandus,Plague,Paradoxopsyllus repandus,flea,mixed,mixed,narrative_review,yes,yes,,temperature_dependent,Kazakhstan; Turkmenistan,Medvedev et al. 2022,experimental transmission was host and temperature dependent,1,normalized_name
plague,paradoxopsyllus scalonae,Plague,Paradoxopsyllus scalonae,flea,unclear,unclear,narrative_review,,yes,,no_transmission_demonstrated,West Mongolia,Medvedev et al. 2022,plague microbe isolated from the species but no transmission result given,1,normalized_name
plague,paradoxopsyllus scorodumovi,Plague,Paradoxopsyllus scorodumovi,flea,mixed,mixed,narrative_review,mixed,yes,primary_vector,,Mongolia; Russia,Medvedev et al. 2022,main vector in Gorno Altai and Sailugem but only occasional vector in Tuva and transmission varied by experiment,1,normalized_name
plague,paradoxopsyllus teretifrons,Plague,Paradoxopsyllus teretifrons,flea,mixed,mixed,narrative_review,yes,yes,,,West Turkmenistan; Balkhash region,Medvedev et al. 2022,experimental transmission without proventricular blocks and low activity in some foci,1,normalized_name
plague,pleochaetis exilis,Plague,Pleochaetis exilis,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,polygenis bohlsi bohlsi,Plague,Polygenis bohlsi bohlsi,flea,unclear,unclear,narrative_review,,yes,,,Northeast Brazil,Reis et al. 2021,naturally infected but competence role not established in the review,1,normalized_name
plague,polygenis bohlsi jordani,Plague,Polygenis bohlsi jordani,flea,competent,competent,narrative_review,yes,yes,,,Northeast Brazil,Reis et al. 2021,studies in lab colonies showed transmission and the species was treated as the most effective vector,1,normalized_name
plague,polygenis gwyni,Plague,Polygenis gwyni,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,polygenis tripus,Plague,Polygenis tripus,flea,mixed,mixed,narrative_review,yes,yes,,limited_or_indirect_support,Northeast Brazil,Reis et al. 2021,efficient vector in the Northeast focus but role in Serra dos Orgãos remains unknown,1,normalized_name
plague,pulex irritans,Plague,Pulex irritans,flea,mixed,mixed; unclear,narrative_review,yes,yes,,low_competence_or_efficiency,North America; Northeast Brazil; Serra dos Orgãos RJ,Eisen et al. 2009; Reis et al. 2021,exceptionally poor biological vector but can transmit mechanically; naturally infected but the review does not establish competence here,2,normalized_name
plague,rhadinopsylla daurica,Plague,Rhadinopsylla daurica,flea,mixed,mixed,narrative_review,yes,,,,,Gage and Kosoy 2005,block free transmission to susceptible hosts,1,normalized_name
plague,rhadinopsylla rothschildi,Plague,Rhadinopsylla rothschildi,flea,mixed,mixed,narrative_review,yes,,,,,Gage and Kosoy 2005,block free transmission to susceptible hosts,1,normalized_name
plague,thrassis acamantis,Plague,Thrassis acamantis,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,thrassis arizonensis,Plague,Thrassis arizonensis,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,thrassis bacchi,Plague,Thrassis bacchi,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,thrassis fotus,Plague,Thrassis fotus,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,thrassis francisi,Plague,Thrassis francisi,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,thrassis gladiolus,Plague,Thrassis gladiolus,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,thrassis pandorae,Plague,Thrassis pandorae,flea,competent,competent,narrative_review,yes,,,,North America,Eisen et al. 2009,experimentally confirmed vector,1,normalized_name
plague,thrassis petiolatus,Plague,Thrassis petiolatus,flea,not_competent,not_competent,narrative_review,no,,,,North America,Eisen et al. 2009,older study failed to transmit and the authors said the sample size was too small for a final verdict,1,normalized_name
plague,xenopsylla astia,Plague,Xenopsylla astia,flea,mixed,mixed,narrative_review,yes,,,,southern Asia,Gage and Kosoy 2005,relatively inefficient transmitter of plague,1,normalized_name
plague,xenopsylla brasiliensis,Plague,Xenopsylla brasiliensis,flea,unclear,unclear,narrative_review,,,,,,Gage and Kosoy 2005,possible exception among common rat fleas but no direct competence result in the quoted passage,1,normalized_name
plague,xenopsylla cheopis,Plague,Xenopsylla cheopis,flea,competent,competent,narrative_review,yes,yes,primary_vector,,North America; Northeast Brazil; Serra dos Orgãos RJ,Eisen et al. 2009; Reis et al. 2021,classic plague vector and naturally infected in the Brazilian foci; experimentally confirmed vector and strongest classic flea vector in the table,2,normalized_name
rift valley fever,aedes aedimorphus dentatus,Rift Valley fever,Aedes (Aedimorphus) dentatus,mosquito,competent,competent,narrative_review,yes,yes,,,,Pepin et al. 2010,epidemiological importance,1,normalized_name
rift valley fever,aedes aedimorphus vexans arabiensis,Rift Valley fever,Aedes (Aedimorphus) vexans arabiensis,mosquito,competent,competent,narrative_review,yes,yes,maintenance_vector,,,Pepin et al. 2010,likely maintenance vector,1,normalized_name
rift valley fever,aedes aegypti,Rift Valley fever,Aedes aegypti,mosquito,mixed,competent; not_competent; unclear,dataset; field_detection; lab_experiment; narrative_review; systematic_review,mixed,yes,candidate_vector|primary_vector,field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated,global; Kenya; Northern and Eastern Africa; Rwanda; United States; White Nile state,Golnar et al. 2014 Table 1; Mgongoma et al. 2026; Nsengimana et al. 2025; Seufi and Galal 2010; Turell et al. 2008; Wu et al. 2025,field detection; inoculated transmission only; no bite transmission after oral exposure; low measured vector competence; PCR only; potential vector; unlikely major vector; review states it is highly competent for RVFV,6,normalized_name
rift valley fever,aedes africanus,Rift Valley fever,Aedes africanus,mosquito,unclear,unclear,narrative_review,,yes,candidate_vector,,Rwanda,Nsengimana et al. 2025,potential vector,1,normalized_name
rift valley fever,aedes albopictus,Rift Valley fever,Aedes albopictus; Stegomyia albopicta,mosquito,competent,competent,dataset; lab_experiment; narrative_review,yes,,,,global; Spain; United States,Brustolin et al. 2017; Golnar et al. 2014 Table 1; Wu et al. 2025,infectious saliva; transmission capacity shown; lower measured vector competence; review states it is highly competent for RVFV,3,manual_map; normalized_name
rift valley fever,aedes atlanticus,Rift Valley fever,Aedes atlanticus,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,lower measured vector competence,1,normalized_name
rift valley fever,aedes calceatus,Rift Valley fever,Aedes calceatus,mosquito,not_competent,not_competent,lab_experiment,no,,,no_transmission_demonstrated,Kenya,Turell et al. 2008,no bite transmission in this study,1,normalized_name
rift valley fever,aedes canadensis,Rift Valley fever,Aedes canadensis,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,measured vector competence,1,normalized_name
rift valley fever,aedes cantator,Rift Valley fever,Aedes cantator,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,low measured vector competence,1,normalized_name
rift valley fever,aedes caspius,Rift Valley fever,Aedes caspius,mosquito,competent,competent,systematic_review,yes,,,,Mediterranean Basin,Drouin et al. 2022,most competent among five species considered,1,normalized_name
rift valley fever,aedes circumluteolus,Rift Valley fever,Aedes (Neomelaniconion) circumluteolus; Aedes circumluteolus,mosquito,mixed,competent; mixed; unclear,lab_experiment; narrative_review; systematic_review,mixed,yes,maintenance_vector,field_detection_only|population_dependent,Africa; Kenya,Mgongoma et al. 2026; Pepin et al. 2010; Turell et al. 2008,maintenance vector; variable results across studies; review cites isolation; transmitted by bite,3,normalized_name; rule_drop_subgenus_token
rift valley fever,aedes detritus,Rift Valley fever,Aedes detritus,mosquito,competent,competent,systematic_review,yes,,,,Mediterranean Basin,Drouin et al. 2022,sensu lato pooled; high IR and moderate transmission,1,normalized_name
rift valley fever,aedes dorsalis,Rift Valley fever,Aedes dorsalis,mosquito,unclear,unclear,dataset,,,,low_competence_or_efficiency,United States,Golnar et al. 2014 Table 1,near-zero measured vector competence,1,normalized_name
rift valley fever,aedes durbanensis,Rift Valley fever,Aedes durbanensis,mosquito,unclear,unclear,systematic_review,,yes,,,Southern Africa,Mgongoma et al. 2026,field detection,1,normalized_name
rift valley fever,aedes excrucians,Rift Valley fever,Aedes excrucians,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,high measured vector competence,1,normalized_name
rift valley fever,aedes infirmatus,Rift Valley fever,Aedes infirmatus,mosquito,not_competent,not_competent,dataset,no,,,,United States,Golnar et al. 2014 Table 1,explicit incompetent example in text,1,normalized_name
rift valley fever,aedes japonicus japonicus,Rift Valley fever,Aedes japonicus japonicus,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,highest measured vector competence,1,normalized_name
rift valley fever,aedes mcintoshi,Rift Valley fever,Aedes (Neomelaniconion) mcintoshi; Aedes mcintoshi,mosquito,mixed,competent; mixed; unclear,lab_experiment; narrative_review; systematic_review,mixed,yes,maintenance_vector,field_detection_only|population_dependent,Africa; East Africa; Kenya,Mgongoma et al. 2026; Pepin et al. 2010; Rolin et al. 2013; Turell et al. 2008,maintenance vector; variable results across studies; review cites isolation; transmitted by bite; transovarial transmission; maintenance vector,4,normalized_name; rule_drop_subgenus_token
rift valley fever,aedes ochraceus,Rift Valley fever,Aedes ochraceus,mosquito,unclear,unclear,systematic_review,,yes,,field_detection_only,Africa,Mgongoma et al. 2026,review cites isolation and field detection,1,normalized_name
rift valley fever,aedes palpalis,Rift Valley fever,Aedes palpalis,mosquito,competent,competent,lab_experiment,yes,,,,Central African Republic,Turell et al. 2008,transmitted by bite,1,normalized_name
rift valley fever,aedes palpalis group,Rift Valley fever,Aedes (Neomelaniconion) palpalis group,mosquito,mixed,mixed,narrative_review,mixed,yes,,mixed_or_debated_evidence,,Pepin et al. 2010,debated,1,rule_drop_subgenus_token
rift valley fever,aedes pembaensis,Rift Valley fever,Aedes pembaensis,mosquito,unclear,unclear,systematic_review,,yes,,field_detection_only,Africa,Mgongoma et al. 2026,review cites isolation,1,normalized_name
rift valley fever,aedes sollicitans,Rift Valley fever,Aedes sollicitans,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,measured vector competence,1,normalized_name
rift valley fever,aedes spp,Rift Valley fever,Aedes spp.,mosquito,unclear,unclear,systematic_review,,yes,,taxon_level_not_specific,Eastern and Southern Africa,Mgongoma et al. 2026,genus-level field detection,1,normalized_name
rift valley fever,aedes sudanensis,Rift Valley fever,Aedes sudanensis,mosquito,unclear,unclear,systematic_review,,yes,,,Eastern Africa,Mgongoma et al. 2026,field detection,1,normalized_name
rift valley fever,aedes taeniorhynchus,Rift Valley fever,Aedes taeniorhynchus,mosquito,competent,competent,dataset; narrative_review,yes,yes,,temperature_dependent,North America; United States,Golnar et al. 2014 Table 1; Rolin et al. 2013,lab competence; temperature-dependent; lower measured vector competence,2,normalized_name
rift valley fever,aedes triseriatus,Rift Valley fever,Aedes triseriatus,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,measured vector competence,1,normalized_name
rift valley fever,aedes vexans,Rift Valley fever,Aedes vexans,mosquito,competent,competent,dataset; lab_experiment; systematic_review,yes,,,low_competence_or_efficiency|population_dependent,"Begues municipality, Catalonia, Spain; Mediterranean Basin; United States",Birnberg et al. 2019; Drouin et al. 2022; Golnar et al. 2014 Table 1,field-captured European population; saliva positive; low vector competence; lower measured vector competence; moderately competent,3,normalized_name
rift valley fever,aedes vexans meigen,Rift Valley fever,Aedes vexans (Meigen),mosquito,mixed,mixed,lab_experiment,mixed,,,strain_dependent,Senegal,Ndiaye et al. 2016,only East African lineage transmitted; strain-dependent competence,1,normalized_name
rift valley fever,amblyomma variegatum,Rift Valley fever,Amblyomma variegatum,tick,unclear,unclear,narrative_review,,yes,,field_detection_only,,Pepin et al. 2010,field isolate,1,normalized_name
rift valley fever,anopheles bradleyi crucians,Rift Valley fever,Anopheles bradleyi-crucians,mosquito,unclear,unclear,dataset,,,,low_competence_or_efficiency,United States,Golnar et al. 2014 Table 1,near-zero measured vector competence,1,normalized_name
rift valley fever,anopheles coustani,Rift Valley fever,Anopheles coustani,mosquito,unclear,unclear,field_detection; narrative_review; systematic_review,,yes,candidate_vector,field_detection_only|mixed_or_debated_evidence,Madagascar; Northern and Eastern Africa; Rwanda; White Nile state; Khartoum state,Mgongoma et al. 2026; Nsengimana et al. 2025; Seufi and Galal 2010; Tantely et al. 2015,candidate vector; field detection; PCR only; table/text inconsistent; potential vector,4,normalized_name
rift valley fever,anopheles crucians,Rift Valley fever,Anopheles crucians,mosquito,not_competent,not_competent,dataset,no,,,,United States,Golnar et al. 2014 Table 1,explicit incompetent example in text,1,normalized_name
rift valley fever,anopheles funestus,Rift Valley fever,Anopheles funestus,mosquito,unclear,unclear,narrative_review,,yes,candidate_vector,,Rwanda,Nsengimana et al. 2025,potential vector,1,normalized_name
rift valley fever,anopheles gambiae,Rift Valley fever,Anopheles gambiae,mosquito,unclear,unclear,systematic_review,,yes,,,Western and Southern Africa,Mgongoma et al. 2026,field detection,1,normalized_name
rift valley fever,anopheles gambiae arabiensis,Rift Valley fever,Anopheles gambiae arabiensis,mosquito,unclear,unclear,field_detection; systematic_review,,yes,,field_detection_only,Northern Africa; White Nile state; Khartoum state,Mgongoma et al. 2026; Seufi and Galal 2010,field detection; PCR only,2,normalized_name
rift valley fever,anopheles gambiae sensu lato,Rift Valley fever,Anopheles gambiae sensu lato,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only,Rwanda (Kirehe district),Nsengimana et al. 2025,RT-PCR positive only,1,normalized_name
rift valley fever,anopheles pharoensis,Rift Valley fever,Anopheles pharoensis,mosquito,unclear,unclear,systematic_review,,yes,,,Western Africa,Mgongoma et al. 2026,field detection,1,normalized_name
rift valley fever,anopheles rufipes,Rift Valley fever,Anopheles rufipes,mosquito,unclear,unclear,narrative_review,,yes,candidate_vector,,Rwanda,Nsengimana et al. 2025,potential vector,1,normalized_name
rift valley fever,anopheles spp,Rift Valley fever,Anopheles spp.,mosquito,unclear,unclear,systematic_review,,yes,,taxon_level_not_specific,Southern Africa,Mgongoma et al. 2026,genus-level field detection,1,normalized_name
rift valley fever,anopheles squamosus,Rift Valley fever,Anopheles squamosus,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,candidate_vector,field_detection_only,Africa; Madagascar; Rwanda,Mgongoma et al. 2026; Nsengimana et al. 2025; Tantely et al. 2015,candidate vector; potential vector; review cites isolation,3,normalized_name
rift valley fever,anopheles ziemanni,Rift Valley fever,Anopheles ziemanni,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only,Rwanda (Ngoma district),Nsengimana et al. 2025,RT-PCR positive only,1,normalized_name
rift valley fever,coquillettidia perturbans,Rift Valley fever,Coquillettidia perturbans,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,highest measured vector competence,1,normalized_name
rift valley fever,culex annulioris,Rift Valley fever,Culex annulioris,mosquito,unclear,unclear,narrative_review,,yes,candidate_vector,,Rwanda,Nsengimana et al. 2025,potential vector,1,normalized_name
rift valley fever,culex antennatus,Rift Valley fever,Culex (Culex) antennatus; Culex antennatus,mosquito,competent,competent; unclear,lab_experiment; narrative_review; systematic_review,yes,yes,primary_vector,low_competence_or_efficiency,Kenya; Madagascar; Northern Africa,Mgongoma et al. 2026; Pepin et al. 2010; Tantely et al. 2015; Turell et al. 2008,field detection; major vector; only species meeting all three criteria in the review; significance unclear; transmitted by bite,4,normalized_name; rule_repeated_genus
rift valley fever,culex bitaeniorhynchus,Rift Valley fever,Culex bitaeniorhynchus,mosquito,unclear,unclear,systematic_review,,yes,,field_detection_only,Africa,Mgongoma et al. 2026,review cites isolation,1,normalized_name
rift valley fever,culex erraticus,Rift Valley fever,Culex erraticus,mosquito,unclear,unclear,dataset,,,,low_competence_or_efficiency,United States,Golnar et al. 2014 Table 1,very low measured vector competence,1,normalized_name
rift valley fever,culex erythrothorax,Rift Valley fever,Culex erythrothorax,mosquito,unclear,unclear,dataset,,,,low_competence_or_efficiency,United States,Golnar et al. 2014 Table 1,very low measured vector competence,1,normalized_name
rift valley fever,culex neavei,Rift Valley fever,Culex (Culex) neavei; Culex neavei,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,,limited_or_indirect_support,Eastern Africa,Mgongoma et al. 2026; Pepin et al. 2010,field detection; limited support,2,normalized_name; rule_repeated_genus
rift valley fever,culex nigripalpus,Rift Valley fever,Culex nigripalpus,mosquito,not_competent,not_competent,dataset,no,,,low_competence_or_efficiency,United States,Golnar et al. 2014 Table 1,near-zero measured vector competence; explicit incompetent example in text,1,normalized_name
rift valley fever,culex pipiens,Rift Valley fever,Culex (Culex) pipiens; Culex pipiens,mosquito,mixed,competent; mixed; unclear,dataset; lab_experiment; narrative_review; systematic_review,mixed,yes,candidate_vector|primary_vector,population_dependent|temperature_dependent,Egypt; Madagascar; Mediterranean Basin; Northern and Southern Africa; United States,Drouin et al. 2022; Golnar et al. 2014 Table 1; Mgongoma et al. 2026; Pepin et al. 2010; Rolin et al. 2013; Tantely et al. 2015; Turell et al. 2008,candidate vector; field detection; high transmission with midgut barriers; lab competence; temperature-dependent; lower measured vector competence; principal vector in Egypt; variable results across experiments; transmitted by bite,7,normalized_name; rule_repeated_genus
rift valley fever,culex pipiens complex,Rift Valley fever,Culex pipiens complex,mosquito,unclear,unclear,field_detection,,yes,,field_detection_only,White Nile state; Khartoum state,Seufi and Galal 2010,PCR only,1,normalized_name
rift valley fever,culex pipiens form molestus,Rift Valley fever,Culex pipiens form molestus,mosquito,not_competent,not_competent,lab_experiment,no,,,,Spain,Brustolin et al. 2017,infection only; no dissemination or saliva,1,normalized_name
rift valley fever,culex pipiens hybrid form,Rift Valley fever,Culex pipiens hybrid form,mosquito,competent,competent,lab_experiment,yes,,,,Spain,Brustolin et al. 2017,infectious saliva; transmission capacity shown,1,normalized_name
rift valley fever,culex poicilipes,Rift Valley fever,Culex (Culex) poicilipes; Culex poicilipes,mosquito,competent,competent; unclear,field_detection; narrative_review; systematic_review,yes,yes,candidate_vector,field_detection_only|mixed_or_debated_evidence,Africa; Madagascar; Rwanda; White Nile state; Khartoum state,Mgongoma et al. 2026; Nsengimana et al. 2025; Pepin et al. 2010; Seufi and Galal 2010; Tantely et al. 2015,author-designated candidate; candidate vector; PCR only; table/text inconsistent; review cites isolation and field detection; West Africa outbreak vector,5,normalized_name; rule_repeated_genus
rift valley fever,culex poicilipes theobald,Rift Valley fever,Culex poicilipes (Theobald),mosquito,mixed,mixed,lab_experiment,mixed,,,strain_dependent,Senegal,Ndiaye et al. 2016,only East African lineage transmitted; strain-dependent competence,1,normalized_name
rift valley fever,culex quinquefasciatus,Rift Valley fever,Culex quinquefasciatus,mosquito,not_competent,not_competent; unclear,dataset; field_detection; lab_experiment; narrative_review; systematic_review,no,yes,candidate_vector,field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated,Africa; Kenya; Madagascar; Rwanda (Rwamagana and Kayonza districts); United States,Golnar et al. 2014 Table 1; Mgongoma et al. 2026; Nsengimana et al. 2025; Tantely et al. 2015; Turell et al. 2008,candidate vector; no bite transmission in this study; review cites isolation and field detection; RT-PCR positive plus isolation; source calls it a vector in Rwanda; very low estimated competence,5,normalized_name
rift valley fever,culex quinquefasciatus say,Rift Valley fever,Culex quinquefasciatus Say,mosquito,mixed,mixed,lab_experiment,mixed,,,strain_dependent,Senegal,Ndiaye et al. 2016,only East African lineage transmitted; strain-dependent competence,1,normalized_name
rift valley fever,culex salinarius,Rift Valley fever,Culex salinarius,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,lower measured vector competence,1,normalized_name
rift valley fever,culex spp,Rift Valley fever,Culex spp.,mosquito,unclear,unclear,systematic_review,,yes,,taxon_level_not_specific,Eastern Africa,Mgongoma et al. 2026,genus-level field detection,1,normalized_name
rift valley fever,culex tarsalis,Rift Valley fever,Culex tarsalis,mosquito,competent,competent,dataset,yes,,,,United States,Golnar et al. 2014 Table 1,high measured vector competence,1,normalized_name
rift valley fever,culex territans,Rift Valley fever,Culex territans,mosquito,unclear,unclear,dataset,,,,,United States,Golnar et al. 2014 Table 1,lower measured vector competence,1,normalized_name
rift valley fever,culex theileri,Rift Valley fever,Culex (Culex) theileri; Culex theileri,mosquito,competent,competent,narrative_review; systematic_review,yes,yes,,,Mediterranean Basin,Drouin et al. 2022; Pepin et al. 2010,epidemic vector; few data; infected mosquitoes transmitted to mammals,2,normalized_name; rule_repeated_genus
rift valley fever,culex tritaeniorhynchus,Rift Valley fever,Culex (Culex) tritaeniorhynchus; Culex tritaeniorhynchus,mosquito,competent,competent; unclear,narrative_review; systematic_review,yes,yes,candidate_vector,,Eastern Africa; Madagascar,Mgongoma et al. 2026; Pepin et al. 2010; Tantely et al. 2015,candidate vector; field detection; Saudi Arabia outbreak vector,3,normalized_name; rule_repeated_genus
rift valley fever,culex univittatus,Rift Valley fever,Culex univittatus,mosquito,unclear,unclear,narrative_review; systematic_review,,yes,candidate_vector,field_detection_only,Africa; Madagascar,Mgongoma et al. 2026; Tantely et al. 2015,candidate vector; review cites isolation,2,normalized_name
rift valley fever,culex zombaensis,Rift Valley fever,Culex (Culex) zombaensis,mosquito,unclear,unclear,narrative_review,,yes,,limited_or_indirect_support,,Pepin et al. 2010,limited support,1,rule_repeated_genus
rift valley fever,eretmapodites chrysogaster sensu lato,Rift Valley fever,Eretmapodites chrysogaster sensu lato,mosquito,unclear,unclear,narrative_review,,yes,,limited_or_indirect_support,,Pepin et al. 2010,limited sample,1,normalized_name
rift valley fever,eretmapodites quinquevittatus,Rift Valley fever,Eretmapodites quinquevittatus,mosquito,unclear,unclear,narrative_review,,yes,candidate_vector,mixed_or_debated_evidence,Madagascar,Pepin et al. 2010; Tantely et al. 2015,candidate vector; debated,2,normalized_name
